vertex_1,vertex_2,cl_ID
377,379,1
358,426,2
239,242,3
153,265,4
265,415,4
153,415,4
372,398,5
34,372,6
177,330,48
66,164,49
367,390,53
367,403,53
390,403,53
178,179,56
345,348,57
345,380,57
348,380,57
35,437,59
35,399,60
57,250,75
68,91,120
115,120,125
38,44,198
316,421,332
153,427,729
39,427,729
39,153,729
39,39,729
233,385,1338
120,233,1338
120,385,1338
153,407,2011
244,407,2011
153,244,2011
167,170,2681
167,168,2681
168,170,2681
192,293,3342
192,376,3342
293,376,3342
6,222,4010
6,426,4010
222,426,4010
128,143,4682
127,128,4682
127,143,4682
266,408,5346
266,316,5346
316,408,5346
220,408,6031
6,220,6031
6,408,6031
316,427,6696
119,316,6696
119,427,6696
56,217,7358
153,217,7358
56,153,7358
85,101,8045
101,153,8045
85,153,8045
185,185,8737
185,453,8737
453,453,8737
186,186,9378
148,186,9378
5,148,9378
5,186,9378
148,148,9378
186,310,10022
183,186,10022
183,310,10022
186,186,10022
186,285,10690
186,186,10690
94,186,10690
94,285,10690
186,287,11358
24,186,11358
24,287,11358
186,186,11358
186,427,12027
166,427,12027
186,186,12027
166,186,12027
186,331,12695
330,331,12695
186,330,12695
186,186,12695
186,288,13362
46,186,13362
46,288,13362
186,186,13362
186,289,14030
25,186,14030
25,289,14030
186,186,14030
186,186,14698
186,392,14698
27,186,14698
27,392,14698
186,186,15368
43,186,15368
186,396,15368
43,396,15368
186,417,16036
91,186,16036
91,417,16036
186,186,16036
50,261,16708
186,261,16708
50,186,16708
186,186,16708
186,290,17379
48,186,17379
48,290,17379
186,186,17379
157,186,18040
157,159,18040
186,186,18040
159,186,18040
186,286,18717
186,191,18717
191,286,18717
186,186,18717
186,291,19385
47,186,19385
47,291,19385
186,186,19385
186,292,20054
26,186,20054
26,292,20054
186,186,20054
117,186,20713
40,186,20713
40,117,20713
186,186,20713
28,31,21381
28,186,21381
31,186,21381
186,186,21381
97,98,22049
97,186,22049
98,186,22049
186,186,22049
186,186,22735
75,186,22735
75,100,22735
100,186,22735
186,186,23385
130,186,23385
112,130,23385
112,186,23385
186,186,24073
79,186,24073
41,79,24073
41,186,24073
186,186,24725
111,186,24725
129,186,24725
111,129,24725
198,365,25389
60,198,25389
60,365,25389
60,124,26053
124,365,26721
209,231,27391
209,452,27391
231,452,27391
195,196,28063
196,365,28063
195,365,28063
186,365,28729
186,215,28729
215,365,28729
186,186,28729
153,270,29400
155,270,29400
153,155,29400
155,271,30069
155,277,30729
153,277,31399
153,271,32066
6,159,32736
158,159,32736
6,158,32736
158,350,33413
158,374,34069
6,374,34737
6,350,35405
87,90,36077
87,153,36077
90,153,36077
30,153,36741
30,90,37409
171,205,38087
171,427,38087
205,427,38087
382,427,38745
171,382,39413
138,232,40093
138,138,40093
232,232,40093
232,232,40750
218,232,40750
218,218,40750
179,182,41419
182,186,41419
179,186,41419
186,186,41419
176,182,42087
186,186,42756
76,186,42756
29,76,42756
29,186,42756
32,76,43421
128,186,44093
186,186,44093
132,186,44093
128,132,44093
132,188,44757
186,279,45430
186,389,45430
279,389,45430
186,186,45430
279,317,46093
186,186,46767
113,186,46767
113,262,46767
186,262,46767
113,452,47429
186,188,48097
186,186,48097
186,186,48765
186,452,48765
186,186,49433
176,186,49433
186,317,50101
186,186,50101
186,195,50769
186,186,50769
186,231,51437
186,186,51437
186,186,52105
32,186,52105
6,61,53015
153,282,53441
282,385,53441
153,385,53441
233,282,54401
110,417,54777
110,266,54777
266,417,54777
195,217,55445
195,450,55445
217,450,55445
144,408,56114
97,144,56114
97,408,56114
62,124,56782
62,132,56782
124,132,56782
124,128,57496
184,408,58118
184,310,58118
310,408,58118
89,116,58786
89,171,58786
116,171,58786
42,43,59454
43,155,59454
42,155,59454
157,417,60204
144,157,60204
144,417,60204
391,395,60886
270,391,60886
270,395,60886
153,391,61602
78,270,62127
270,343,62127
78,343,62127
78,155,62822
277,343,63558
277,437,63558
343,437,63558
89,395,64131
89,277,64131
277,395,64131
231,338,64896
338,341,64896
231,341,64896
166,361,65570
166,362,65570
361,362,65570
361,427,66137
189,361,66137
189,427,66137
189,362,66802
362,427,67471
34,166,68141
34,371,68141
166,371,68141
94,150,68906
150,152,68906
94,152,68906
94,95,69478
94,408,69478
95,408,69478
61,220,70253
61,222,70253
220,222,70253
222,233,70815
204,222,70815
204,233,70815
115,296,71581
115,365,71581
