vertex_1,vertex_2,cl_ID
139,140,1
17,29,2
37,38,3
96,141,4
280,281,5
140,230,6
39,40,7
4,152,8
101,311,9
56,57,10
118,209,11
19,208,12
67,363,13
171,172,14
26,306,15
26,273,16
170,336,17
172,325,18
26,197,19
194,196,20
155,157,21
102,159,22
48,49,23
8,344,24
107,372,25
137,138,26
95,286,27
1,2,28
1,3,28
2,3,28
32,369,30
32,370,30
369,370,30
38,304,31
38,305,31
304,305,31
26,295,33
26,296,33
295,296,33
53,170,36
50,53,37
23,54,38
23,55,38
54,55,38
58,59,41
58,60,41
59,60,41
115,172,44
115,347,44
172,347,44
13,19,45
13,20,45
19,20,45
21,287,46
21,288,46
287,288,46
107,283,47
107,284,47
283,284,47
15,278,49
15,279,49
278,279,49
49,67,50
49,74,50
67,74,50
77,78,52
77,79,52
78,79,52
24,79,53
125,255,58
125,256,58
255,256,58
201,252,60
201,253,60
252,253,60
26,198,62
26,251,62
198,251,62
24,140,64
24,229,64
140,229,64
23,227,65
23,228,65
227,228,65
140,206,67
140,207,67
206,207,67
65,345,68
65,346,68
345,346,68
128,340,75
128,341,75
340,341,75
52,116,77
52,117,77
116,117,77
118,119,78
118,120,78
119,120,78
6,7,83
6,8,83
7,8,83
51,160,84
51,322,84
160,322,84
95,338,90
95,339,90
338,339,90
146,147,91
146,148,91
147,148,91
4,146,92
8,189,97
8,26,100
26,40,107
44,66,108
106,185,180
26,95,185
231,232,204
231,233,204
232,233,204
113,135,407
113,189,407
135,189,407
7,190,610
7,191,610
190,191,610
70,73,814
70,150,814
73,150,814
5,201,1016
5,254,1016
201,254,1016
113,131,1222
113,136,1222
131,136,1222
168,169,1422
168,205,1422
169,205,1422
51,52,1626
51,100,1626
52,100,1626
41,42,1828
41,43,1828
42,43,1828
32,51,2033
32,307,2033
51,307,2033
65,264,2235
65,265,2235
264,265,2235
4,13,2442
4,274,2442
13,274,2442
100,145,2640
100,194,2640
145,194,2640
40,175,2844
40,282,2844
175,282,2844
113,114,3046
113,312,3046
114,312,3046
21,33,3249
21,109,3249
33,109,3249
4,16,3453
4,371,3453
16,371,3453
5,231,3656
5,235,3656
231,235,3656
90,91,3864
90,92,3864
91,92,3864
149,150,4068
149,151,4068
150,151,4068
100,101,4264
100,103,4264
101,103,4264
49,183,4473
49,226,4473
183,226,4473
8,62,4673
8,65,4673
62,65,4673
17,18,4873
17,261,4873
18,261,4873
17,58,5076
18,58,5279
13,17,5482
13,18,5685
18,365,5888
17,172,6091
17,365,6294
18,172,6497
269,270,6700
269,272,6700
270,272,6700
269,271,6903
270,271,7106
52,169,7309
52,291,7309
169,291,7309
290,291,7512
95,97,7715
95,362,7715
97,362,7715
97,178,7918
169,290,8121
169,292,8121
290,292,8121
289,290,8324
169,289,8527
95,178,8730
95,179,8730
178,179,8730
178,180,8933
95,180,9136
160,162,9339
160,163,9339
162,163,9339
161,162,9542
160,161,9745
108,155,9948
108,158,9948
155,158,9948
155,156,10151
26,155,10354
108,156,10557
26,108,10760
26,125,10760
108,125,10760
124,125,10963
125,234,11166
26,124,11369
26,231,11572
26,297,11572
231,297,11572
26,234,11775
231,234,11978
114,131,12202
114,135,12202
131,135,12202
167,168,12384
167,170,12384
168,170,12384
167,169,12587
112,114,12790
112,115,12790
114,115,12790
113,115,12993
112,113,13196
49,181,13399
49,182,13399
181,182,13399
182,183,13602
181,183,13805
18,201,14008
18,258,14008
201,258,14008
17,258,14215
17,201,14414
150,271,14617
150,294,14617
271,294,14617
270,294,14820
7,192,15023
7,193,15023
192,193,15023
190,193,15226
190,192,15429
199,202,15632
199,258,15632
202,258,15632
150,270,15835
150,293,15835
270,293,15835
149,293,16038
149,270,16241
66,101,16444
66,102,16444
101,102,16444
100,102,16681
104,107,16850
104,108,16850
107,108,16850
173,174,17053
173,175,17053
174,175,17053
40,174,17256
40,173,17459
62,63,17662
62,64,17662
63,64,17662
8,64,17865
8,63,18068
4,153,18320
4,154,18320
153,154,18320
16,153,18474
16,154,18677
23,50,18933
23,52,18933
50,52,18933
50,51,19083
23,51,19357
1,113,19525
1,259,19525
113,259,19525
131,259,19692
1,131,19993
33,220,20158
33,221,20158
220,221,20158
21,221,20301
4,14,20542
4,15,20542
14,15,20542
13,14,20707
13,16,20707
14,16,20707
13,15,20910
