vertex_1,vertex_2,cl_ID
3707,3708,1
3550,3707,2
3534,3707,3
3,3584,4
4,4931,5
5,89,6
7,9,7
8,9,8
9,10,9
13,14,10
14,16,11
15,17,12
15,18,13
23,4446,14
24,4447,15
29,99,16
34,35,17
37,38,18
37,39,19
37,40,20
45,48,21
46,48,22
50,4449,23
64,69,24
65,69,25
66,69,26
67,70,27
68,71,28
75,99,29
88,90,30
88,89,31
89,91,32
94,95,33
103,141,34
115,116,35
116,206,36
117,118,37
117,119,38
122,123,39
123,124,40
127,130,41
128,130,42
129,130,43
133,4462,44
134,2563,45
154,159,46
155,160,47
30,161,48
163,166,49
163,164,50
164,165,51
178,181,52
183,185,53
184,185,54
198,202,55
27,204,56
62,210,57
211,214,58
211,213,59
211,212,60
102,211,61
218,219,62
220,225,63
221,222,64
234,235,65
144,235,66
130,236,67
237,238,68
246,248,69
249,251,70
250,251,71
257,260,72
258,260,73
266,309,74
269,270,75
271,275,76
272,275,77
273,373,78
273,275,79
274,275,80
275,276,81
277,352,82
277,287,83
284,285,84
289,291,85
292,293,86
294,299,87
295,301,88
298,301,89
302,303,90
304,317,91
304,308,92
305,306,93
310,4432,94
310,359,95
310,354,96
309,324,97
325,326,98
327,4429,99
315,327,100
328,380,101
328,329,102
241,328,103
332,381,104
332,341,105
339,340,106
337,339,107
348,353,108
349,353,109
350,351,110
358,378,111
331,358,112
360,362,113
243,364,114
243,365,115
336,374,116
354,375,117
376,379,118
253,377,119
261,383,120
386,387,121
387,388,122
389,431,123
391,392,124
397,398,125
397,399,126
397,400,127
397,401,128
402,403,129
403,404,130
405,406,131
408,409,132
411,412,133
414,416,134
417,418,135
419,422,136
432,434,137
435,436,138
441,442,139
449,450,140
459,462,141
436,462,142
443,467,143
472,473,144
477,478,145
488,492,146
482,492,147
501,502,148
503,505,149
504,505,150
510,573,151
510,572,152
510,546,153
511,562,154
512,513,155
512,514,156
515,4459,157
516,520,158
517,521,159
518,521,160
520,521,161
527,528,162
529,530,163
531,532,164
537,538,165
561,562,166
568,569,167
536,575,168
576,731,169
576,661,170
576,660,171
576,658,172
578,579,173
580,703,174
580,665,175
583,584,176
587,588,177
589,598,178
590,591,179
590,592,180
593,594,181
595,596,182
595,597,183
598,599,184
598,600,185
598,601,186
598,602,187
598,603,188
604,605,189
605,607,190
608,611,191
609,610,192
610,612,193
616,617,194
618,619,195
598,621,196
622,623,197
624,625,198
577,626,199
628,629,200
630,631,201
632,633,202
634,635,203
636,637,204
639,640,205
641,642,206
643,659,207
644,645,208
646,647,209
648,649,210
650,651,211
651,726,212
652,654,213
655,656,214
657,659,215
662,663,216
664,665,217
666,667,218
671,705,219
673,674,220
673,675,221
679,680,222
681,683,223
681,684,224
685,686,225
687,688,226
689,690,227
691,692,228
681,694,229
695,696,230
697,698,231
699,729,232
699,700,233
702,703,234
588,704,235
595,706,236
707,710,237
707,708,238
710,711,239
638,710,240
712,713,241
714,715,242
716,717,243
717,721,244
718,719,245
720,721,246
722,723,247
723,724,248
725,726,249
721,728,250
729,730,251
638,729,252
732,733,253
690,733,254
734,735,255
736,737,256
738,739,257
742,745,258
744,746,259
745,747,260
748,781,261
749,752,262
756,758,263
762,763,264
766,767,265
767,804,266
768,772,267
769,773,268
770,773,269
772,774,270
749,776,271
781,785,272
789,790,273
793,794,274
796,797,275
771,798,276
799,800,277
781,800,278
801,802,279
807,808,280
804,808,281
811,812,282
816,817,283
804,822,284
831,4445,285
842,843,286
843,4180,287
848,912,288
848,849,289
847,848,290
849,890,291
849,889,292
849,888,293
849,887,294
849,880,295
850,910,296
850,909,297
850,908,298
850,856,299
851,899,300
851,855,301
852,855,302
834,867,303
832,868,304
832,869,305
847,871,306
832,905,307
832,906,308
832,907,309
832,911,310
913,919,311
913,918,312
847,913,313
914,918,314
915,918,315
916,919,316
917,919,317
832,920,318
832,921,319
922,928,320
922,927,321
865,922,322
923,927,323
924,927,324
925,928,325
926,928,326
832,933,327
934,1054,328
934,1015,329
938,939,330
947,948,331
943,947,332
956,984,333
957,958,334
973,974,335
982,983,336
954,984,337
985,986,338
988,989,339
991,995,340
995,1000,341
942,995,342
1006,1008,343
1006,1009,344
1006,1010,345
1017,1018,346
1021,1022,347
1027,1028,348
1030,1031,349
1031,1039,350
1031,1040,351
1031,1041,352
1042,1043,353
1065,1177,354
1078,1225,355
1079,1080,356
1084,1504,357
1084,1447,358
1084,1296,359
1111,1112,360
1112,1460,361
1113,1582,362
1113,1580,363
1114,1117,364
1122,1123,365
1137,1139,366
1137,1140,367
1142,1143,368
1145,1223,369
1147,1149,370
1167,1169,371
1173,2181,372
1106,1180,373
1107,1181,374
1186,1443,375
1189,1190,376
1211,1212,377
1216,1217,378
1223,1255,379
1234,1235,380
1109,1241,381
1230,1255,382
1260,1261,383
1262,1264,384
1225,1263,385
1264,1433,386
1265,1800,387
1178,1266,388
1267,1268,389
