vertex_1,vertex_2,cl_ID
v_1967,v_4456,1
v_4780,v_831,2
v_4055,v_4390,3
v_4580,v_3884,4
v_1154,v_190,5
v_1990,v_4287,6
v_3618,v_2795,7
v_1041,v_3511,8
v_970,v_3786,9
v_3144,v_2556,10
v_4863,v_1848,11
v_515,v_3942,12
v_1830,v_1290,13
v_4093,v_4992,14
v_1285,v_1564,15
v_3438,v_4883,16
v_3532,v_3686,17
v_322,v_1201,18
v_648,v_2418,19
v_3363,v_2752,20
v_2554,v_303,21
v_3341,v_3110,22
v_58,v_2608,23
v_1278,v_4005,24
v_817,v_1480,25
v_338,v_745,26
v_338,v_2197,26
v_745,v_2197,26
v_2896,v_2371,27
v_2598,v_2371,28
v_3097,v_4463,29
v_3097,v_4755,29
v_4463,v_4755,29
v_2612,v_2733,30
v_2612,v_4359,30
v_2733,v_4359,30
v_1537,v_1910,31
v_1537,v_2026,31
v_1910,v_2026,31
v_262,v_1329,32
v_262,v_4745,32
v_1329,v_4745,32
v_1069,v_2294,33
v_1069,v_3033,33
v_2294,v_3033,33
v_77,v_2431,34
v_77,v_4918,34
v_2431,v_4918,34
v_849,v_4013,35
v_849,v_4533,35
v_4013,v_4533,35
v_2567,v_4153,36
v_2567,v_4738,36
v_4153,v_4738,36
v_3149,v_3644,37
v_2859,v_3644,38
v_2859,v_3938,38
v_3644,v_3938,38
v_2429,v_2439,39
v_2429,v_3645,39
v_2439,v_3645,39
v_128,v_1001,40
v_128,v_4919,40
v_1001,v_4919,40
v_3276,v_3292,41
v_13,v_3292,42
v_2563,v_3356,43
v_2563,v_4730,43
v_3356,v_4730,43
v_20,v_486,44
v_20,v_2744,44
v_486,v_2744,44
v_486,v_3941,45
v_486,v_3973,45
v_3941,v_3973,45
v_2092,v_4570,46
v_2092,v_4938,46
v_4570,v_4938,46
v_2915,v_3250,47
v_2915,v_4014,47
v_3250,v_4014,47
v_3742,v_4431,48
v_3742,v_4720,48
v_4431,v_4720,48
v_362,v_399,49
v_362,v_1734,49
v_399,v_1734,49
v_3728,v_4142,50
v_3728,v_4230,50
v_4142,v_4230,50
v_245,v_2413,51
v_245,v_4694,51
v_2413,v_4694,51
v_3773,v_2297,52
v_2527,v_2297,53
v_535,v_843,54
v_535,v_1136,54
v_843,v_1136,54
v_191,v_881,55
v_191,v_1497,55
v_881,v_1497,55
v_2966,v_2160,56
v_2372,v_2160,57
v_645,v_4375,58
v_645,v_4915,58
v_4375,v_4915,58
v_1720,v_2410,59
v_1720,v_3458,59
v_2410,v_3458,59
v_1470,v_2574,60
v_1470,v_4225,60
v_2574,v_4225,60
v_2516,v_3297,61
v_2516,v_3841,61
v_3297,v_3841,61
v_427,v_1550,62
v_427,v_4830,62
v_1550,v_4830,62
v_53,v_395,63
v_53,v_1301,63
v_395,v_1301,63
v_2162,v_1643,64
v_1752,v_1643,65
v_1830,v_3217,66
v_1087,v_3217,67
v_1058,v_3667,68
v_1058,v_4019,68
v_3667,v_4019,68
v_776,v_1548,69
v_776,v_4743,69
v_1548,v_4743,69
v_1510,v_3404,70
v_1510,v_4209,70
v_3404,v_4209,70
v_98,v_1762,71
v_98,v_2477,71
v_1762,v_2477,71
v_2018,v_4332,73
v_2018,v_4496,73
v_4332,v_4496,73
v_414,v_642,74
v_414,v_4322,74
v_642,v_4322,74
v_997,v_1681,75
v_997,v_2524,75
v_1681,v_2524,75
v_1532,v_369,76
v_1532,v_1609,77
v_1532,v_4462,77
v_1609,v_4462,77
v_1979,v_3331,78
v_1979,v_4204,78
v_3331,v_4204,78
v_1984,v_2391,79
v_1984,v_3572,79
v_2391,v_3572,79
v_2046,v_3959,80
v_2046,v_4645,80
v_3959,v_4645,80
v_1194,v_2819,81
v_1194,v_4432,81
v_2819,v_4432,81
v_962,v_1306,82
v_962,v_1782,82
v_1306,v_1782,82
v_518,v_4085,83
v_518,v_4234,83
v_4085,v_4234,83
v_1377,v_1751,84
v_1377,v_3327,84
v_1751,v_3327,84
v_1591,v_2981,85
v_1591,v_4571,85
v_2981,v_4571,85
v_627,v_936,86
v_627,v_2820,86
v_936,v_2820,86
v_1925,v_2392,87
v_1925,v_4086,87
v_2392,v_4086,87
v_2625,v_3243,88
v_2625,v_4785,88
v_3243,v_4785,88
v_560,v_1257,89
v_560,v_3540,89
v_1257,v_3540,89
v_409,v_1708,90
v_409,v_2324,90
v_1708,v_2324,90
v_3651,v_1259,91
v_944,v_1259,92
v_557,v_1950,93
v_557,v_2443,93
v_1950,v_2443,93
v_2083,v_2589,94
v_2083,v_3874,94
v_2589,v_3874,94
v_2028,v_2127,95
v_2028,v_4925,95
v_2127,v_4925,95
v_227,v_1030,96
v_227,v_3734,96
v_1030,v_3734,96
v_3788,v_3192,97
v_2920,v_3192,98
v_272,v_348,99
v_272,v_3420,99
v_348,v_3420,99
v_770,v_3891,100
v_770,v_4278,100
v_3891,v_4278,100
v_4451,v_1115,101
v_1886,v_1115,102
v_1891,v_1995,103
v_1891,v_4422,103
v_1995,v_4422,103
v_1822,v_4582,104
v_1286,v_4582,105
v_80,v_1683,106
v_80,v_3543,106
v_1683,v_3543,106
v_1006,v_1587,107
v_1006,v_3463,107
v_1587,v_3463,107
v_1931,v_2138,108
v_1931,v_3293,108
v_2138,v_3293,108
v_695,v_1694,109
v_695,v_4827,109
v_1694,v_4827,109
v_420,v_4583,110
v_420,v_4718,110
v_4583,v_4718,110
v_4164,v_1091,111
v_3826,v_1091,112
v_1358,v_2890,113
v_1358,v_4248,113
v_2890,v_4248,113
v_326,v_653,114
v_326,v_4420,114
v_653,v_4420,114
v_302,v_2071,115
v_302,v_4759,115
v_2071,v_4759,115
v_1857,v_2591,116
v_1857,v_4105,116
v_2591,v_4105,116
v_1519,v_2738,118
v_1519,v_4547,118
v_2738,v_4547,118
v_1684,v_2263,119
v_1684,v_2533,119
v_2263,v_2533,119
v_2211,v_4046,120
v_2211,v_4557,120
v_4046,v_4557,120
v_900,v_2889,121
v_900,v_4238,121
v_2889,v_4238,121
v_1440,v_2634,122
v_1440,v_3258,122
v_2634,v_3258,122
v_4797,v_1052,123
v_1207,v_1052,124
v_2165,v_2941,125
v_2165,v_4134,125
v_2941,v_4134,125
v_1663,v_680,126
v_1369,v_680,127
v_3256,v_3419,128
v_3256,v_3476,128
v_3419,v_3476,128
v_2878,v_4120,129
v_2878,v_4184,129
v_4120,v_4184,129
v_2251,v_2580,130
v_2251,v_2954,130
v_2580,v_2954,130
v_3696,v_369,131
v_256,v_289,132
v_256,v_2433,132
v_289,v_2433,132
v_2600,v_339,133
v_2325,v_339,134
v_947,v_2331,135
v_947,v_4519,135
v_2331,v_4519,135
v_1921,v_4106,136
v_1921,v_4453,136
v_4106,v_4453,136
v_1125,v_4114,137
v_1125,v_4576,137
v_4114,v_4576,137
v_1015,v_2989,138
v_1015,v_4521,138
v_2989,v_4521,138
v_832,v_2578,139
v_832,v_3982,139
v_2578,v_3982,139
v_3435,v_3921,140
v_3435,v_4325,140
v_3921,v_4325,140
v_133,v_2507,141
v_133,v_4890,141
v_2507,v_4890,141
v_502,v_2001,142
v_502,v_2131,142
v_2001,v_2131,142
v_1603,v_2999,143
v_1603,v_4508,143
v_2999,v_4508,143
v_1666,v_3079,144
v_1666,v_3620,144
v_3079,v_3620,144
v_71,v_1158,145
v_71,v_2622,145
v_1158,v_2622,145
v_1513,v_2817,146
v_1513,v_3665,146
v_2817,v_3665,146
v_3094,v_3051,147
v_959,v_3051,148
v_233,v_242,149
v_233,v_1180,149
v_242,v_1180,149
v_403,v_762,150
v_403,v_1303,150
v_762,v_1303,150
v_2770,v_4846,151
v_2770,v_4927,151
v_4846,v_4927,151
v_1488,v_2690,152
v_1488,v_4363,152
v_2690,v_4363,152
v_1604,v_2515,153
